repo,hash
XRecyclerView/XRecyclerView,881c18e09b3db3f04d3c420596b1ef1ec4535e45
netgloo/spring-boot-samples,065c82a9f7702de1c751f7980672c2eb0e6c33c1
sshahine/JFoenix,a1be87d91d578e7799bc308b3b1bbe1d742a020d
brianway/java-learning,3d71ff5cfed5e50e08da5ccb04ef828d30809da3
liyifeng1994/ssm,f3f90d79e50410c2f661ff309dd022322bdbc7cf
spring-projects/spring-batch,84fe5048d63bcd9eed0d521a5e85f7e5dc9fbed5
jfinal/jfinal,076e76a4941c989d7f535035295aa3d055123131
FIRST-Tech-Challenge/FtcRobotController,f326c0d033b69a476dea0a06bc394103e504a0ca
oldmanpushcart/greys-anatomy,383d17d4dbc2f0cfcf73ce5b1477204b86f1992a
spring-petclinic/spring-petclinic-microservices,ec50c28d6571fa5779b9117da8b9092443ef1297
hustcc/JS-Sorting-Algorithm,f56cfad812d52fc56b65ab0f3bce80ceb4054c88
react-native-webrtc/react-native-webrtc,dbbdbb4ac72f750faf11b42ba46ec875691217db
apache/commons-lang,24744a40b2c094945e542b71cc1fbf59caa0d70b
awsdocs/aws-lambda-developer-guide,4ab6fc2242df3500769deef8d4378ec6c17d07bd
apache/jmeter,91d8aea7c42b10c68767e2f0a2a955389477f03f
apache/kylin,0e0d8a125ea81f735e66e38f32ef722622d77dc0
SonarSource/sonarqube,b9739fb1920f2ac26d87d1bf83c54db570e0f89d
fabric8io/kubernetes-client,1b9b81be0a7a6d130125b60404162b374f441b2b
chat2db/Chat2DB,0c1d38e0362f888d8046ae391c605f3142caf83d
spring-projects/spring-authorization-server,2dcbc586b1df9834fb3e35e2666182283e810fc2
apache/avro,119c3fc99203cf6fb63dda7c3bb307c8841f179a
RodneyShag/HackerRank_solutions,34a59eda36b06ceb3a459fc34d5c7c7e7b06f0c5
baoyongzhang/SwipeMenuListView,b00e0fe8c2b8d6f08607bfe2ab390c7cee8df274
saysky/ForestBlog,aa99908befd4abe17e623526ec5170ccbefdf298
szerhusenBC/jwt-spring-security-demo,dcf718c67c0d403f78ee390c23715c3f5e6f5f4c
google/tsunami-security-scanner,65e84d562a725b7c606f48ead656121dbeba4bb7
apache/flume,2e61411726b91d7ccf43c486ff383807cf5de56d
fishercoder1534/Leetcode,0138a7b931b479c3b0dfe4ef6db55e85c1bd1533
yanzhenjie/SwipeRecyclerView,69aa14d05da09beaeb880240c62f7de6f4f1bb39
FasterXML/jackson-databind,254eb262df798450feb7775f7126accb706b0ed9
lightbend/config,5d6a46631c7ca1d617de02459bd62af5b875073b
hazelcast/hazelcast,310f4fcecc2ccd005a494bc8bea5f42ee634c499
ZHENFENG13/spring-boot-projects,f08f1c4f91de27edb45f2c6702c7b23d0acf68cc
mongodb/mongo-java-driver,6a20fb6bc7c95edd1731774722dfe3644361e772
fuzhengwei/small-spring,69efcc9835aac100fb99ad2046a75e0b58508233
PowerJob/PowerJob,9b7c237cf09d155a10438cddce9c801f83ac6bd2
ZhongFuCheng3y/austin,957b5678d979940854db1fe7eb9c4ee834e07a32
JanusGraph/janusgraph,555abf12040f180590e3ac060305f40e68ba6a8b
zhangkaitao/es,0c6b3cbb8ef26f29b32d164efb0d9d97dd7e497f
datahub-project/datahub,52156193b623d554acc2c9564232f033ca5b8989
apache/logging-log4j2,180a3dc7258829f61c6bc8548948a69ba4d5d6be
alibaba/QLExpress,4004bef0aa78c9026c6cbafa731f1789eb4ff37b
hibernate/hibernate-orm,b8040bb898a101a4733d76fca3ebc034014570b9
baomidou/dynamic-datasource,d9d3b58cfc66e1c47731b60026b73bab26eed920
rubenlagus/TelegramBots,f343d17ae4d3b793cb70ed51bd2cc2e05c2a6e4a
reactor/reactor-core,681c0d92d6828c2d35ab0150c0de6ecd9af68d28
TEAMMATES/teammates,2ea7f486ffc4ced2d2d7dbceb162166c5c72f756
spring-projects/spring-data-elasticsearch,fb989db635a2fab7070e5d606391ec7b9d711969
nayuki/QR-Code-generator,49a66a2b8bb8f8852fd2e1deb00b8672f5760139
Alluxio/alluxio,063a11a45bf13f53e1ac5142b945a76d47dc4d88
yizhiwazi/springboot-socks,763dce7c4a4960dc6389eb96087a39ed3a278896
dreamhead/moco,dd55636f7a05413e465c3abd0482bf34d6be036c
code4craft/netty-learning,73fd879a7dbc159a63157a6d91891b7e74783bbe
spring-projects/spring-data-jpa,867de7d8cfc117037922cdbd2d48d3570633342d
eclipse/jetty.project,a22174cb76e3411ed0c11ec20ffea90771a0a248
JakeWharton/hugo,50ee96dc07cda4277cd5ee59add847251c34604e
WeiYe-Jing/datax-web,f0aac36b6f3c5c6182b8985bd0bcf1470201e92f
sofastack/sofa-rpc,d9c2fac118b60c0a7e52652720bb936947159bf0
microservices-patterns/ftgo-application,558dfc53b11d30a5f1d995c0c6d58d5106c28189
socketio/socket.io-client-java,ad3a930e346ad54acd8e895b01418f7b936776dd
btraceio/btrace,513992c058f286af6e38986f2a7d5f05cfba5c94
deathmarine/Luyten,64af8d1df1d2cab029779142726fbcd8bc482956
NLPchina/ansj_seg,100b1c1744defb621831592cb9dc83e161849554
j-easy/easy-rules,d4450831533e47a5c0cb361edb80dad43db228a4
h2database/h2database,12b314dbe520558b3dc976ae47735b32cb2b814d
jeasonlzy/ImagePicker,f7cad47b259b89bb109905e2498c228bf9c35041
drtshock/Potato,cf8c3b0146d8adce28fc9e9e1d94cca71d9ea96d
stacksimplify/aws-eks-kubernetes-masterclass,1148246aedad0a4f68ff780ea73b810b29a9485b
JabRef/jabref,16b5a3ca3669f48592e64bd23704e72fb5377ced
JodaOrg/joda-time,b92d88eea7df04f066d141c6e3d834f2894e52ef
Graylog2/graylog2-server,882cee679e4dbca5d347285cfcc17d65204b6082
stylefeng/Guns,9597d2af9e972a8941c0efd8012537b2aec25ff3
apache/dubbo-samples,74048d7dabe82e2861981a11c919f2c450cf24ac
apache/curator,3468ee91561534d5a748bfb06902725542d07347
auth0/java-jwt,a6fa0b4d338386e7f0650b714444633420af0515
pmd/pmd,89c7da82f49e09a31d14d65db7b74fa108519348
Twitter4J/Twitter4J,87ccc41fb14434e328946fa4422460990be7a2d4
jacoco/jacoco,36fc079692f9cf6dcc2b6f391cc0d7fbe2a90a7a
RameshMF/spring-boot-tutorial,9cdb898b9ba819d8039314314390d2fb4774b0cf
strimzi/strimzi-kafka-operator,979dc84c72433c9d1fef80189e944799265b1894
motianhuo/wechat,70d0fca84415be30e790a36263e9cae3a31a38eb
alibaba/jetcache,0b88e1a4d625ac44e43eb03a3fa175ca2d98c559
DerekYRC/mini-spring,00b823729a6c3f582f709db21a8d36de4cd8a1c3
guolindev/booksource,e61f533816111c8899b2009a49b322e63cabbfd5
spring-projects/spring-kafka,e95f041a2550b11eb5eaf4524c71e1e1a389c52d
watabou/pixel-dungeon,ca458a28f053612973d5d6059dae5f6f2ca4fcb7
mapstruct/mapstruct,c59eca2a77a02ea97ab0b87c8a90c48266e106dc
shopizer-ecommerce/shopizer,054a3bde1ea8894d13b0a8fb4e28f9db17262224
qos-ch/logback,c428711908102c6e254f3fc93bf9f55b42e101cf
apache/rocketmq-externals,1eb861c5b5a2e72441f37734e1730e471eb1d53d
hellokoding/hellokoding-courses,261d52924c69a6a63a88ee3c1be1bf32a7615ce2
google/google-java-format,c47ebbb6207e412d012a2a65e2ce5ee679902997
lettuce-io/lettuce-core,9de4b7f15a239c7e994d5006a11924ef964fadcd
apache/nutch,a74b57b90409b9488caa169e7bc3c6d1ff8067f4
gocd/gocd,bd92ebc53589d4c99019bc63916f4bf3ffcc09f2
Wizcorp/phonegap-facebook-plugin,544cc06b0968b32dae4a8f97c1b01a3d5c74a1b6
micronaut-projects/micronaut-core,aebaec5c5d136ec28bcd67d54f13a1e85676f0d9
prontera/spring-cloud-rest-tcc,20eda7129afe257242d0c29c80837fd42aa516d7
wildfly/wildfly,392d86f62b0874325582922a7c7e4d5bbb6780cf
prometheus/jmx_exporter,89275ac5fed732b943c248867db578b6f12bb756
forezp/SpringBootLearning,65527095133583ab4969bb9a82866eebc7a99b2a
sofastack/sofa-jraft,19ed179e02ee9108adc0bbf66badb47f62c62af8
apache/parquet-mr,c78c95306bda3d1e77a93d53de6c6106dfd85e97
opensearch-project/OpenSearch,d5a95b81045828cfbd4926a10685eb03a83457c0
zendesk/maxwell,4c4f8a3689234bca40cb0663298448f69a348f68
BruceEckel/OnJava8-Examples,ade1d5ef122bdfc1320370e2fde7a62245e26d41
jenkinsci/kubernetes-plugin,a5d57b501454b73f966b7a45de781ab846e96432
cglib/cglib,5c947539c1218dc4ff1a14a7c36b4856b0ee6397
jankotek/mapdb,8721c0e824d8d546ecc76639c05ccbc618279511
real-logic/aeron,6955d1e93f74da76db507e062ffb11b1831c5167
MarkerHub/vueblog,c042ee4a37e865c08addc680af26428de7e8ed89
javagrowing/JGrowing,425cd785cb93c9daeaf3630529ece76ca4a7bbd3
CrawlScript/WebCollector,878704586e75ac49737d06fc527f49c6b3b8b9b2
azkaban/azkaban,6db750049f6fdf7842e18b8d533a3b736429bdf4
javastacks/spring-boot-best-practice,4fddd587197556ef350b9b6ca869c7fdbf88b7d5
RichardWarburton/java-8-lambdas-exercises,87fdadf617461dcd22badbd6f69a457e37e1c42f
TheoKanning/openai-java,442cf130f6fbedbdcb70ce9d96ce572faf54c9e9
igniterealtime/Openfire,237c62333982eb73eac718401f70a065f6c2ce4c
ltsopensource/light-task-scheduler,b61e6ae4320d5bf63d803ed0ccc33894d854539b
opengoofy/hippo4j,5bb1f4ab332ce89daed02be7a0691d2ce925ec4b
spring-cloud/spring-cloud-config,d16b2089e5b9f7d70fc828b43cb9f2d53d4ef42d
pentaho/pentaho-kettle,2148814019d79393c616a7e1663aad123aa3bdad
codingXiaxw/seckill,fd24d99d232424cd141e64600b277fb8cf3950e2
luxiaoxun/NettyRpc,a4e78aca2341e5c63352bdf39bf018d055357e80
widdix/aws-cf-templates,4208f640f2b28a63520618f0f0372c2a88dd39b1
Exrick/xpay,f4392b3d9db92bc70f995df13b221e6818feb097
alibaba/cobar,bc36a14d4a3f8acc0db0b3b07a7db8d38afefda5
apache/linkis,16183c973c59380cbb05250f773692bfd02f1dcb
quarkusio/quarkus-quickstarts,39a34536d886981ba0148df9699ed3aa1860f8c3
docker-java/docker-java,12ecc2bcbf0b6fbfe64cc658101ebccd6a1d06d6
junit-team/junit5-samples,d34f80f7f42ae3fb25f1a88473411fb4c4b89a57
apache/activemq,578d86d726d80715825e5f927ef8af50e181d754
IoT-Technology/IoT-Technical-Guide,787314d5b6aafd0179e9bc7f5ab39a34dfff9972
camunda/camunda-bpm-platform,3d7b80f08b30a970d824aa8adbd3057adc7d4792
chewiebug/GCViewer,af97692884ac918ccbdf7a123fa698460a1d397e
lzyzsd/CircleProgress,8ecd5b87d747f5a486313b0f56e4f197b13f93de
lenve/JavaEETest,c7c186bdead4f7710decd5a0f85c9f01b0a5a8ef
CoderLeixiaoshuai/java-eight-part,77620444e663d2bd54fc2286678162f473478d35
zhangxd1989/spring-boot-cloud,e3966d7cefa4fa429d13bbc8de7f4dafbae0de35
eirslett/frontend-maven-plugin,b4738a78d5fb845fcd5e051b83d184ad7fe0c569
google/error-prone,8b00f66ca7753af13e52bcb71f4979cb6fce9622
apache/incubator-kie-drools,02d592c720e43ca028d56e22375a750a9097f694
coobird/thumbnailator,951d04f352d90f34420a82909c15453fee1b75ff
undertow-io/undertow,510bb19d7ea203412b4622b16f2b92c1078f58a3
shekhargulati/99-problems,7e120de6259b408eed8d1d17538b561a01bbfb9a
apache/ignite,d2af35b9320b0acc227b61c4614b22debc554635
fossasia/susi_server,230d679cf18d0b6c1889cefd2cc1697810c8ec58
liyiorg/weixin-popular,864994ee4841b08535db3ea6062489663adb672f
pig-mesh/pig,3d5da66afb4a7f1a710f81394eb5920b1a97851f
rengwuxian/RxJavaSamples,f9e47c2e8347f124bc03ebe10e758f26a9b841b8
confluentinc/kafka-streams-examples,abde62367fb2896c1ae2ccea37f0ecf37a51bb9d
MovingBlocks/Terasology,983bba1b3a5569e0768a285e6002b8d27c0e9060
DiUS/java-faker,a8b8ff0acc6fcc629d08a3a9952f83be56a9a3c3
Bukkit/Bukkit,f210234e59275330f83b994e199c76f6abd41ee7
DeemOpen/zkui,1b3e7c133ab76a26c9c5b3653679d77d0cd6358d
VaughnVernon/IDDD_Samples,9b27b11773f62afb5d1b541abf51fb36516a7250
raphw/byte-buddy,2c7d58de18f31e0ce50cb5d70f21c23efe7fbc2f
DTStack/chunjun,0e6a442f498cc63f3468b3c6dc186b04c06b68c2
xuhuisheng/lemon,2bf80b638538ea276fe91c74614befac6d5a8ab2
graphhopper/graphhopper,e53d88be858994591f3d28974d6a3c95f5fb9944
huanzi-qch/base-admin,b21a07e2dfd00bad0f7c216a46740864b5122472
a466350665/smart-sso,ed0b9742b1292d471181ab749b9112066d60034c
benwang6/spring-cloud-repo,c332286faa0249805f023d7e7290cb86cf26d771
apache/hbase,3bf3b963222c450d12d90e1c45d20a4d9a4537e8
thinkaurelius/titan,ee226e52415b8bf43b700afac75fa5b9767993a5
baichengzhou/SpringMVC-Mybatis-Shiro-redis-0.2,ce2a2c30a35da487e4bacef441a71bfcca878dfb
aistrate/AlgorithmsSedgewick,06703c1371ffdf669d3996baa9e9684d13cdcc82
querydsl/querydsl,cd608f04ed7534b1b62a78a28beb141071d149b6
jitsi/jitsi,77b1f5e65ad7c06cbfe6dce5f77b2f303980c240
apache/iotdb,0f2cf0a3b48a7efe51c0263f9c481f556d9ff572
oshi/oshi,af041aeb4d1d117d412f01a0f3deff41d6937805
jcoleman/tomcat-redis-session-manager,bb72ab23096ce7620e6f5b166be24a821b7b87fb
liuyangming/ByteTCC,1355b11548e922c672dced712956a8f65d92a805
unofficial-openjdk/openjdk,c4ee9a8f4e71e1a89c69af09b87ee20b6e55b842
in28minutes/spring-master-class,4f822f5e61e7481d5c12839d3f9fdacccab6a42d
HelloWorld521/Java,9bd12073568d6a91366268106f06632f0f50321d
kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136
